store_id,store_name,store_number,format,address,city,state,postal_code,country,region,open_date,close_date,sq_ft
1866,Croma High Street Puducherry #1866,1866,High Street,7173 Main Bazaar,Puducherry,Puducherry,756012,India,India,2022-01-07,,20304
3378,Croma Express Jamshedpur #3378,3378,Express,177 Mall Road,Jamshedpur,Jharkhand,861466,India,India,2019-08-16,,22107
1175,Croma Mall Karnal #1175,1175,Mall,2530 Ring Road,Karnal,Haryana,855380,India,India,2025-04-06,,21411
6679,Croma Metro Rourkela #6679,6679,Metro,812 MG Road,Rourkela,Odisha,672980,India,India,2020-03-30,,13172
7133,Croma Airport Ahmedabad #7133,7133,Airport,7334 Main Bazaar,Ahmedabad,Gujarat,473854,India,India,2018-02-15,,8562
8675,Croma Metro Chandigarh #8675,8675,Metro,7759 Station Road,Chandigarh,Chandigarh,528517,India,India,2018-02-11,,8558
65,Croma Kiosk Jodhpur #65,65,Kiosk,7170 Main Bazaar,Jodhpur,Rajasthan,834726,India,India,2023-08-29,,26525
11406,Croma Kiosk Visakhapatnam #11406,11406,Kiosk,2324 MG Road,Visakhapatnam,Andhra Pradesh,174022,India,India,2021-06-19,,17398
1077,Croma High Street Chandigarh #1077,1077,High Street,1559 Mall Road,Chandigarh,Chandigarh,255739,India,India,2021-11-18,2023-03-30,23569
8220,Croma Flagship Haridwar #8220,8220,Flagship,9298 Main Bazaar,Haridwar,Uttarakhand,293925,India,India,2018-04-09,,10495
2590,Croma Flagship Vadodara #2590,2590,Flagship,8058 Station Road,Vadodara,Gujarat,448711,India,India,2019-04-16,,27709
9853,Croma Airport Jamshedpur #9853,9853,Airport,2033 Station Road,Jamshedpur,Jharkhand,362055,India,India,2019-07-27,,1141
6563,Croma Kiosk Belagavi #6563,6563,Kiosk,4031 Ring Road,Belagavi,Karnataka,252554,India,India,2021-11-23,2025-07-19,5652
6566,Croma Kiosk Rajkot #6566,6566,Kiosk,1431 Main Bazaar,Rajkot,Gujarat,472237,India,India,2022-03-04,,22125
5119,Croma Airport Karnal #5119,5119,Airport,619 Ring Road,Karnal,Haryana,164173,India,India,2020-11-12,,7355
1476,Croma Express Margao #1476,1476,Express,3353 MG Road,Margao,Goa,707534,India,India,2020-10-01,,25961
808,Croma Metro Visakhapatnam #808,808,Metro,6989 Mall Road,Visakhapatnam,Andhra Pradesh,325953,India,India,2023-01-23,,9180
3477,Croma Metro Cuttack #3477,3477,Metro,228 MG Road,Cuttack,Odisha,792171,India,India,2018-03-04,2023-04-01,10174
9926,Croma High Street Bilaspur #9926,9926,High Street,7495 Ring Road,Bilaspur,Chhattisgarh,554676,India,India,2024-02-11,,29342
100,Croma Mall Solan #100,100,Mall,1817 Ring Road,Solan,Himachal Pradesh,815221,India,India,2022-09-02,,16422
6795,Croma Flagship Durgapur #6795,6795,Flagship,260 MG Road,Durgapur,West Bengal,683135,India,India,2018-02-20,,2520
5322,Croma Express Patiala #5322,5322,Express,1954 Station Road,Patiala,Punjab,186079,India,India,2019-10-25,,19175
10268,Croma Outlet Chandigarh #10268,10268,Outlet,3520 Mall Road,Chandigarh,Chandigarh,410421,India,India,2019-06-11,,27579
3111,Croma Airport Bengaluru #3111,3111,Airport,9629 MG Road,Bengaluru,Karnataka,261747,India,India,2020-11-20,,5998
3147,Croma Airport Hubballi #3147,3147,Airport,1500 Mall Road,Hubballi,Karnataka,810359,India,India,2023-02-24,,20069
208,Croma Flagship Coimbatore #208,208,Flagship,5233 Mall Road,Coimbatore,Tamil Nadu,205397,India,India,2018-07-05,,13719
3173,Croma Outlet Srinagar #3173,3173,Outlet,593 High Street,Srinagar,Jammu & Kashmir,742460,India,India,2019-07-17,2020-02-05,1294
3382,Croma Outlet Panipat #3382,3382,Outlet,9455 Ring Road,Panipat,Haryana,692565,India,India,2023-03-27,,7072
8249,Croma High Street Bhilai #8249,8249,High Street,2172 MG Road,Bhilai,Chhattisgarh,402143,India,India,2022-03-11,,13708
8804,Croma Airport Dehradun #8804,8804,Airport,5973 MG Road,Dehradun,Uttarakhand,504167,India,India,2024-11-29,,27492
11191,Croma Kiosk Raipur #11191,11191,Kiosk,6713 MG Road,Raipur,Chhattisgarh,523531,India,India,2021-05-12,,5383
1013,Croma Kiosk Silchar #1013,1013,Kiosk,8687 Mall Road,Silchar,Assam,135452,India,India,2021-05-21,,28338
5428,Croma High Street Belagavi #5428,5428,High Street,2662 MG Road,Belagavi,Karnataka,128974,India,India,2019-01-01,,28872
5499,Croma Mall New Delhi #5499,5499,Mall,353 Mall Road,New Delhi,Delhi,361911,India,India,2023-09-06,,4735
10471,Croma Mall Chandigarh #10471,10471,Mall,3489 Mall Road,Chandigarh,Chandigarh,589638,India,India,2022-03-03,,19610
3134,Croma Flagship Kozhikode #3134,3134,Flagship,9240 Mall Road,Kozhikode,Kerala,788112,India,India,2019-07-21,,11733
4325,Croma Express Bhopal #4325,4325,Express,4511 Mall Road,Bhopal,Madhya Pradesh,747359,India,India,2025-05-01,2025-08-05,23415
7343,Croma Express Nizamabad #7343,7343,Express,3889 Ring Road,Nizamabad,Telangana,433603,India,India,2021-01-28,,4570
704,Croma Metro Gwalior #704,704,Metro,853 Ring Road,Gwalior,Madhya Pradesh,256909,India,India,2024-11-29,,9786
3762,Croma Outlet Guwahati #3762,3762,Outlet,6274 Mall Road,Guwahati,Assam,384161,India,India,2024-09-02,,28310
6857,Croma Kiosk Panipat #6857,6857,Kiosk,6328 Mall Road,Panipat,Haryana,844441,India,India,2024-03-27,,24173
3440,Croma Metro Karnal #3440,3440,Metro,9387 Ring Road,Karnal,Haryana,530037,India,India,2021-04-16,,22125
7212,Croma Metro Ludhiana #7212,7212,Metro,7140 High Street,Ludhiana,Punjab,145807,India,India,2019-12-07,,27743
9340,Croma Mall Mumbai #9340,9340,Mall,541 MG Road,Mumbai,Maharashtra,136649,India,India,2021-10-13,,21238
10252,Croma Airport Bhopal #10252,10252,Airport,8972 Mall Road,Bhopal,Madhya Pradesh,353605,India,India,2018-11-19,,28086
9138,Croma Flagship Jammu #9138,9138,Flagship,4631 MG Road,Jammu,Jammu & Kashmir,121191,India,India,2020-10-18,,18273
5177,Croma High Street Shimla #5177,5177,High Street,478 Ring Road,Shimla,Himachal Pradesh,801593,India,India,2025-04-18,,9621
3494,Croma Outlet Tirupati #3494,3494,Outlet,3654 MG Road,Tirupati,Andhra Pradesh,315516,India,India,2021-06-28,,3091
4641,Croma Express Panaji #4641,4641,Express,5129 MG Road,Panaji,Goa,229299,India,India,2021-09-01,,14315
10955,Croma High Street Gwalior #10955,10955,High Street,6879 High Street,Gwalior,Madhya Pradesh,466756,India,India,2018-04-02,,24327
4105,Croma Mall Belagavi #4105,4105,Mall,8841 Main Bazaar,Belagavi,Karnataka,797090,India,India,2018-12-01,,16204
3186,Croma Airport Vadodara #3186,3186,Airport,2726 Mall Road,Vadodara,Gujarat,637408,India,India,2021-02-02,,23094
2287,Croma Flagship Delhi #2287,2287,Flagship,5184 Ring Road,Delhi,Delhi,276467,India,India,2024-09-08,,6997
1224,Croma Express Rourkela #1224,1224,Express,7424 High Street,Rourkela,Odisha,729807,India,India,2024-11-05,,7788
6247,Croma Express Puducherry #6247,6247,Express,7727 High Street,Puducherry,Puducherry,203888,India,India,2023-06-01,,20254
160,Croma Flagship Chandigarh #160,160,Flagship,6254 Ring Road,Chandigarh,Chandigarh,395817,India,India,2019-05-14,,19365
1161,Croma Mall Noida #1161,1161,Mall,5448 High Street,Noida,Uttar Pradesh,196194,India,India,2020-07-18,,13915
11818,Croma Flagship Agra #11818,11818,Flagship,629 MG Road,Agra,Uttar Pradesh,833763,India,India,2019-10-12,,7888
1604,Croma Outlet Jammu #1604,1604,Outlet,2364 Ring Road,Jammu,Jammu & Kashmir,658662,India,India,2024-04-14,,11630
11241,Croma Outlet Guwahati #11241,11241,Outlet,384 MG Road,Guwahati,Assam,678993,India,India,2019-10-17,,6858
9876,Croma Metro Panaji #9876,9876,Metro,2918 Ring Road,Panaji,Goa,332541,India,India,2024-09-03,2025-07-22,24606
9001,Croma Flagship Amritsar #9001,9001,Flagship,5397 Mall Road,Amritsar,Punjab,303575,India,India,2023-09-15,,1573
621,Croma Flagship New Delhi #621,621,Flagship,8736 Ring Road,New Delhi,Delhi,729047,India,India,2022-11-05,,10395
10134,Croma Express Shimla #10134,10134,Express,1759 Main Bazaar,Shimla,Himachal Pradesh,717127,India,India,2021-10-05,,2995
374,Croma Mall Delhi #374,374,Mall,5900 Main Bazaar,Delhi,Delhi,125963,India,India,2020-02-27,,8335
3333,Croma Outlet Solan #3333,3333,Outlet,8412 MG Road,Solan,Himachal Pradesh,483392,India,India,2024-09-30,2024-10-18,3171
1520,Croma Flagship Jodhpur #1520,1520,Flagship,6084 Main Bazaar,Jodhpur,Rajasthan,856232,India,India,2024-09-28,,21644
11193,Croma High Street Margao #11193,11193,High Street,4492 Ring Road,Margao,Goa,617101,India,India,2025-05-02,,25365
3218,Croma Outlet Vadodara #3218,3218,Outlet,3152 Mall Road,Vadodara,Gujarat,487744,India,India,2025-03-19,,11770
3852,Croma High Street Karnal #3852,3852,High Street,3505 Ring Road,Karnal,Haryana,408647,India,India,2024-07-16,,13805
6595,Croma Mall Margao #6595,6595,Mall,2287 Ring Road,Margao,Goa,518474,India,India,2021-04-27,,25380
5924,Croma Airport Srinagar #5924,5924,Airport,7821 High Street,Srinagar,Jammu & Kashmir,136880,India,India,2023-11-20,2024-02-08,26174
5691,Croma Outlet Chandigarh #5691,5691,Outlet,2717 Main Bazaar,Chandigarh,Chandigarh,181790,India,India,2018-03-05,,29037
598,Croma Metro Kochi #598,598,Metro,9430 Main Bazaar,Kochi,Kerala,478939,India,India,2024-04-06,,10201
3813,Croma Kiosk Jodhpur #3813,3813,Kiosk,5209 MG Road,Jodhpur,Rajasthan,690825,India,India,2018-02-21,,12238
10774,Croma Flagship Thrissur #10774,10774,Flagship,1324 Ring Road,Thrissur,Kerala,624807,India,India,2021-08-12,,1440
4851,Croma High Street Jaipur #4851,4851,High Street,9798 Mall Road,Jaipur,Rajasthan,812672,India,India,2024-07-11,,15178
1058,Croma High Street Rajkot #1058,1058,High Street,8387 Station Road,Rajkot,Gujarat,651510,India,India,2024-11-22,,26332
6736,Croma Outlet Guwahati #6736,6736,Outlet,4992 Station Road,Guwahati,Assam,156362,India,India,2018-01-24,,18229
3192,Croma Mall Chennai #3192,3192,Mall,772 Mall Road,Chennai,Tamil Nadu,236339,India,India,2020-07-13,,26868
1232,Croma Kiosk Howrah #1232,1232,Kiosk,1344 Main Bazaar,Howrah,West Bengal,407196,India,India,2021-02-05,,2776
9430,Croma High Street Jabalpur #9430,9430,High Street,4040 MG Road,Jabalpur,Madhya Pradesh,705843,India,India,2022-09-05,,10052
539,Croma Airport Jammu #539,539,Airport,2114 Station Road,Jammu,Jammu & Kashmir,450808,India,India,2022-07-14,,27277
1076,Croma High Street Srinagar #1076,1076,High Street,3123 Ring Road,Srinagar,Jammu & Kashmir,666320,India,India,2021-11-21,,19886
11931,Croma Flagship Ahmedabad #11931,11931,Flagship,7013 Mall Road,Ahmedabad,Gujarat,279056,India,India,2021-12-08,2024-07-20,28660
2023,Croma Kiosk Dibrugarh #2023,2023,Kiosk,5750 Station Road,Dibrugarh,Assam,613961,India,India,2022-03-19,,9738
7580,Croma Flagship Haridwar #7580,7580,Flagship,8158 Station Road,Haridwar,Uttarakhand,128817,India,India,2023-08-18,,22996
9249,Croma Metro Nagpur #9249,9249,Metro,3892 Ring Road,Nagpur,Maharashtra,318943,India,India,2019-03-19,,3370
7115,Croma Outlet Hyderabad #7115,7115,Outlet,3530 Mall Road,Hyderabad,Telangana,476549,India,India,2020-07-16,,10925
10092,Croma Express Jalandhar #10092,10092,Express,9360 MG Road,Jalandhar,Punjab,534170,India,India,2025-04-21,,12412
1609,Croma Kiosk Coimbatore #1609,1609,Kiosk,6326 Ring Road,Coimbatore,Tamil Nadu,565969,India,India,2019-04-05,,26801
11499,Croma Flagship Amritsar #11499,11499,Flagship,9621 MG Road,Amritsar,Punjab,674679,India,India,2020-07-12,,21210
6541,Croma Kiosk Haridwar #6541,6541,Kiosk,5257 High Street,Haridwar,Uttarakhand,865284,India,India,2021-06-19,,26592
7147,Croma Airport Warangal #7147,7147,Airport,2362 Station Road,Warangal,Telangana,141055,India,India,2022-11-26,,22894
9072,Croma High Street Jamshedpur #9072,9072,High Street,8087 Mall Road,Jamshedpur,Jharkhand,263386,India,India,2020-09-13,,8431
5348,Croma Metro Thiruvananthapuram #5348,5348,Metro,8404 Main Bazaar,Thiruvananthapuram,Kerala,582760,India,India,2020-11-14,,22886
7945,Croma Airport Nagpur #7945,7945,Airport,7748 High Street,Nagpur,Maharashtra,604819,India,India,2023-07-01,,14977
1185,Croma Outlet Guntur #1185,1185,Outlet,2479 Ring Road,Guntur,Andhra Pradesh,288589,India,India,2021-06-09,,8541
351,Croma Flagship Visakhapatnam #351,351,Flagship,5191 MG Road,Visakhapatnam,Andhra Pradesh,698287,India,India,2020-07-09,,14354
2483,Croma Flagship Patiala #2483,2483,Flagship,4042 Ring Road,Patiala,Punjab,714504,India,India,2018-10-25,,19128
4807,Croma Flagship Vijayawada #4807,4807,Flagship,9067 Mall Road,Vijayawada,Andhra Pradesh,273347,India,India,2025-07-15,,6688
8300,Croma Airport Dehradun #8300,8300,Airport,3234 Station Road,Dehradun,Uttarakhand,460350,India,India,2020-12-14,,2247
2738,Croma Outlet Jamshedpur #2738,2738,Outlet,362 MG Road,Jamshedpur,Jharkhand,812896,India,India,2020-11-21,,14064
7861,Croma Metro Kota #7861,7861,Metro,7468 Main Bazaar,Kota,Rajasthan,488176,India,India,2023-03-29,2025-01-26,3177
2070,Croma Metro Belagavi #2070,2070,Metro,7655 MG Road,Belagavi,Karnataka,561847,India,India,2020-07-27,,11373
10627,Croma Airport Belagavi #10627,10627,Airport,2037 Station Road,Belagavi,Karnataka,781400,India,India,2023-09-20,,6566
5031,Croma Airport Srinagar #5031,5031,Airport,9710 Mall Road,Srinagar,Jammu & Kashmir,575311,India,India,2021-08-07,2024-06-20,28988
9677,Croma High Street Bhagalpur #9677,9677,High Street,9183 MG Road,Bhagalpur,Bihar,662932,India,India,2021-03-11,,16930
3581,Croma Metro Jamshedpur #3581,3581,Metro,9097 High Street,Jamshedpur,Jharkhand,429522,India,India,2019-10-25,,24133
7104,Croma High Street Haridwar #7104,7104,High Street,4720 MG Road,Haridwar,Uttarakhand,730721,India,India,2024-09-11,,19813
2531,Croma Outlet Shimla #2531,2531,Outlet,9313 Station Road,Shimla,Himachal Pradesh,148849,India,India,2025-05-25,,11779
